arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage,coverage_at_112,coverage_at_281,coverage_at_562,coverage_at_750,coverage_at_844,coverage_at_1000,coverage_at_1125
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260803,20,20,6,500,0.05,20,380,0.9973684210526316,0,0,0,500,500,0,942,157.0,0.8739188290086494,-378.9249999523163,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260803.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.784157894736842,0.26052631578947366,0.5052631578947369,0.6210526315789474,0.8789473684210526,0.9578947368421052,0.9842105263157894,0.9947368421052631,0.9973684210526316,209,237,321,0.8739188290086494,0.9788087056128293,0.9366754617414248,50,1,0.9947368421052631,0.9947368421052631,,,,,,,
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260901,30,30,6,1125,0.05,45,855,0.4046783625730994,0,0,0,1125,1125,0,2250,375.0,0.9487862640615748,-915.8208503127098,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260901.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.351608057179987,,0.22923976608187135,,0.3707602339181287,,0.37777777777777777,,0.37777777777777777,,,,0.9487862640615748,0.0,0.6127167630057804,56,1,0.37777777777777777,0.37777777777777777,0.256140350877193,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.38596491228070173,0.4046783625730994
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260902,30,30,6,1125,0.05,45,855,0.6222222222222222,0,0,0,1125,1125,0,1125,187.5,0.9212551805802249,-1095.8020828664303,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260902.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.45435009746588695,,0.11461988304093568,,0.1953216374269006,,0.30994152046783624,,0.5181286549707602,,,,0.9212551805802249,0.0,0.0018796992481203006,56,1,0.6222222222222222,0.6222222222222222,0.12046783625730995,0.29005847953216374,0.5789473684210527,0.6210526315789474,0.6222222222222222,0.6222222222222222,0.6222222222222222
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260903,30,30,6,1125,0.05,45,855,0.9929824561403509,0,0,0,1125,1125,0,1959,326.5,0.8743339253996447,-885.0368349552155,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260903.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.6719916829109811,,0.22923976608187135,,0.38596491228070173,,0.4807017543859649,,0.6432748538011696,742,789,825,0.8743339253996447,0.9656222802436901,0.4664310954063604,56,1,0.9929824561403509,0.9929824561403509,0.24561403508771928,0.4678362573099415,0.7017543859649122,0.9099415204678363,0.9929824561403509,0.9929824561403509,0.9929824561403509
GAT-ON,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,0,123,123,0,482,120.5,0.23387096774193547,87.23124910891056,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8944736842105262,0.4868421052631579,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,1.0,97,106,120,0.23387096774193547,0.6346153846153846,0.14473684210526316,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260601,20,20,4,500,0.05,20,380,0.968421052631579,0,0,0,500,500,0,500,125.0,0.8163672654690619,-382.8999966531992,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260601.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5881157894736843,0.13421052631578947,0.2578947368421053,0.32105263157894737,0.5078947368421053,0.6394736842105263,0.7210526315789474,0.8894736842105263,0.968421052631579,379,422,,0.8163672654690619,0.9462809917355371,0.002717391304347826,50,1,0.968421052631579,0.968421052631579,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260602,20,20,4,500,0.05,20,380,1.0,1,1,0,143,143,0,568,142.0,0.3402777777777778,85.6062492877245,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260602.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8862631578947369,0.4921052631578947,0.8263157894736842,0.968421052631579,1.0,1.0,1.0,1.0,1.0,112,121,139,0.3402777777777778,0.7016129032258065,0.28157894736842104,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260603,20,20,4,500,0.05,20,380,1.0,1,1,0,201,201,0,792,198.0,0.5297029702970297,74.5812494494021,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8779157894736842,0.5078947368421053,0.8184210526315789,0.8842105263157894,0.9973684210526316,1.0,1.0,1.0,1.0,130,169,191,0.5297029702970297,0.8661971830985915,0.55,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260604,20,20,4,500,0.05,20,380,1.0,1,1,0,182,182,0,715,178.75,0.4808743169398907,80.58124922960997,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260604.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8857,0.49473684210526314,0.85,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,111,146,159,0.4808743169398907,0.8661971830985915,0.42105263157894735,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260605,20,20,4,500,0.05,20,380,1.0,1,1,0,181,181,0,720,180.0,0.47802197802197804,82.70624880492687,reports\native_train_seed_gated_cuap_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260605.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8896157894736842,0.4605263157894737,0.8736842105263158,0.9842105263157894,1.0,1.0,1.0,1.0,1.0,104,115,131,0.47802197802197804,0.8766233766233766,0.4763157894736842,50,0,,1.0,,,,,,,
